Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
327,Gui Santos,22,GSW,PF,38,1,510,3.9,8.4,0.462,1.8,4.9,0.357,2.1,3.5,0.612,0.567,1.4,1.9,0.741,3.2,4.6,7.8,3.8,1.3,0.5,1.9,4.3,10.9,NA
328,Tosan Evbuomwan,23,BRK,SF,21,0,501,5.1,11.8,0.433,1.1,4,0.291,4,7.8,0.505,0.482,2.9,3.8,0.755,1.8,4.3,6.1,2.4,1.1,0.5,2.2,2.8,14.2,NA
329,Josh Okogie,26,2TM,SG,32,2,500,5.7,12,0.473,1.8,4.7,0.385,3.9,7.3,0.529,0.548,2.7,3.7,0.725,3,4,6.9,1.7,2.9,1.1,1.8,2.8,15.8,NA
329,Josh Okogie,26,PHO,SG,25,1,351,5.7,11.7,0.491,1.6,4.3,0.381,4.1,7.4,0.556,0.561,2.3,3.3,0.688,3.3,4.1,7.4,1.4,2.2,1,1.6,2.9,15.4,NA
329,Josh Okogie,26,CHO,SG,7,1,149,5.6,12.8,0.434,2.2,5.6,0.391,3.4,7.2,0.467,0.519,3.6,4.6,0.789,2.2,3.6,5.8,2.4,4.6,1.2,2.2,2.7,16.9,NA
330,Svi Mykhailiuk,27,UTA,SF,25,12,496,6.3,16.1,0.392,3.8,11,0.344,2.5,5.2,0.493,0.509,1.4,1.7,0.792,0.9,3.4,4.4,3.6,1.1,0.4,2.9,2.3,17.8,NA
331,Pelle Larsson,23,MIA,SG,39,1,495,4,8.7,0.458,1.5,4.3,0.339,2.5,4.4,0.574,0.542,1.8,2.8,0.658,1.1,3.1,4.1,2.7,1.1,0.3,1,5,11.3,NA
332,DaQuan Jeffries,27,CHO,SG,26,3,494,3.4,9,0.379,1.3,5,0.261,2.1,4,0.527,0.452,0.8,0.9,0.846,1.7,3.7,5.5,2,1.1,0.7,1.2,3.7,9,NA
333,Micah Potter,26,UTA,C,28,9,492,3,6.7,0.446,1.9,5.1,0.371,1.1,1.6,0.682,0.587,0.8,0.9,0.917,2.4,6.1,8.5,1.7,0.6,0.7,1.5,2.6,8.7,NA
334,Jamison Battle,23,TOR,SF,39,0,491,5.5,12,0.46,3.8,9,0.423,1.7,2.9,0.575,0.62,0.9,1,0.857,1.5,3.7,5.2,2.4,0.4,0.4,0.9,3.2,15.7,NA
335,Ryan Rollins,22,MIL,PG,39,8,487,5.5,12.1,0.451,1.8,5.1,0.348,3.7,7,0.526,0.524,1.5,1.8,0.833,1.2,3.5,4.7,3.8,2.1,1,2.4,3.9,14.2,NA
336,Gary Harris,30,ORL,SG,31,2,480,2.5,7,0.366,1.7,5.3,0.324,0.8,1.7,0.5,0.489,0.5,0.7,0.6,1.1,1.7,2.8,1.2,1.4,0.6,0.9,2.2,7.3,NA
337,Grant Williams,26,CHO,PF,16,7,479,4.1,9.2,0.439,2,5.6,0.365,2,3.7,0.551,0.549,2.3,2.8,0.838,1.4,4.8,6.2,2.8,1.4,1,2.1,3.5,12.5,NA
338,Rob Dillingham,20,MIN,PG,39,1,478,6.7,14.9,0.449,1.9,5.3,0.357,4.8,9.6,0.5,0.513,0.6,1.1,0.533,0.9,2.6,3.5,7,1.4,0.1,3.5,2.7,15.9,NA
339,Chet Holmgren,22,OKC,C,18,18,474,7.1,14.4,0.495,1.7,4.9,0.359,5.4,9.6,0.563,0.555,4.5,5.9,0.756,2.4,9.2,11.6,2.7,1.3,3.7,2.7,2.7,20.5,NA
340,Adem Bona,21,PHI,C,43,1,472,3.7,5.4,0.69,0,0,NA,3.7,5.4,0.69,0.69,2.6,4,0.642,3.4,5.8,9.2,1,0.7,2.4,2.2,6.2,10.1,NA
341,Jae'Sean Tate,29,HOU,SF,41,2,472,4.2,9.4,0.447,0.8,2.6,0.294,3.4,6.8,0.506,0.488,2.1,3.1,0.659,2.9,4.1,7,2.8,1.8,0.2,1.4,5.3,11.2,NA
342,Jared Butler,24,2TM,SG,40,1,472,8,17.2,0.467,1.4,4.6,0.317,6.6,12.6,0.521,0.509,3.4,4.3,0.786,1.4,3.4,4.7,8.2,1.1,0.5,3.1,3.6,20.8,NA
342,Jared Butler,24,WAS,PG,32,0,362,8.5,17.5,0.483,1.5,4.1,0.366,7,13.4,0.519,0.526,3.5,4.5,0.778,1.4,2.7,4.1,8.2,1.2,0.5,2.9,4,21.9,NA
342,Jared Butler,24,PHI,SG,8,1,110,6.5,16,0.408,1.3,6.2,0.211,5.2,9.8,0.533,0.449,2.9,3.6,0.818,1.3,5.6,6.9,8.2,1,0.7,3.6,2.3,17.3,NA
343,Trendon Watford,24,BRK,PF,26,0,470,6.5,14.3,0.455,1.1,3.6,0.319,5.4,10.7,0.5,0.495,3.8,4.8,0.794,1.5,5.1,6.7,4.1,1.4,0.5,3.3,4.4,18,NA
344,KJ Simpson,22,CHO,PG,23,4,470,4.5,13.5,0.335,1.2,5.7,0.216,3.3,7.8,0.422,0.381,2.3,2.8,0.811,2.1,2.9,5.1,4.6,1.5,0.3,2.5,2.7,12.6,NA
345,Larry Nance Jr.,32,ATL,PF,24,3,463,6.2,12.1,0.516,2.6,5.9,0.447,3.6,6.1,0.582,0.626,0.7,1,0.692,1.8,6.2,8,3,1.6,1,1.2,2.9,15.8,NA
346,Caleb Houstan,22,ORL,SF,40,5,460,2.9,8.6,0.336,2.4,7.4,0.326,0.5,1.2,0.4,0.477,0.8,0.9,0.909,1,2.1,3.1,1.3,0.6,0.2,0.4,3,9,NA
347,Pat Connaughton,32,MIL,SG,31,0,459,3.9,9.1,0.431,1.6,4.9,0.323,2.4,4.2,0.556,0.517,1,1.3,0.765,1.3,5.1,6.4,4,0.5,0.7,1.5,2.6,10.4,NA
348,Keaton Wallace,25,ATL,PG,26,3,421,4.6,10.9,0.425,2.1,5.8,0.368,2.5,5,0.492,0.524,0.9,0.9,1,0.5,2.6,3.1,4.8,1.9,0.7,2.4,2.7,12.3,NA
